"Capa","Nombre","Latitud","Longitud"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0201-5","-2.902137","-78.986461"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0201-6","-2.902838","-78.988089"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0201-7","-2.900838","-78.985837"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0201-8","-2.90015","-78.984729"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0301-1","-2.900161","-78.989507"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0301-2","-2.902328","-78.988675"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0301-3","-2.901355","-78.990605"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0301-4","-2.903202","-78.990756"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0301-5","-2.901874","-78.992636"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0301-6","-2.901333","-78.994799"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0301-7","-2.899603","-78.992548"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0301-8","-2.899043","-78.994924"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0303-1","-2.898312","-78.993593"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0303-2","-2.896899","-78.996152"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0303-3","-2.897124","-78.993523"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0303-4","-2.89572","-78.995348"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0303-5","-2.895898","-78.993526"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0303-6","-2.894845","-78.993802"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0303-7","-2.893907","-78.993087"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0302-1","-2.904704","-78.992674"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0302-2","-2.903209","-78.995364"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0302-3","-2.905231","-78.995527"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0302-4","-2.90577","-78.993148"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0302-5","-2.906239","-78.995051"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0302-6","-2.908177","-78.994874"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM0302-7","-2.909178","-78.994938"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5301-5","-2.891144","-78.976834"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5301-6","-2.889691","-78.977393"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5301-8","-2.889298","-78.981238"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5301-4","-2.891651","-78.980171"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5301-3","-2.891661","-78.978849"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5301-1","-2.892671","-78.977718"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5301-2","-2.893166","-78.979296"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5301-7","-2.888948","-78.979536"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5302-1","-2.891557","-78.981077"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5302-3","-2.89308","-78.980838"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5302-2","-2.892896","-78.98162"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5302-4","-2.891183","-78.983337"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5302-5","-2.892904","-78.982651"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5302-6","-2.893808","-78.982994"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5302-7","-2.894536","-78.982142"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5303-1","-2.891433","-78.983792"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5303-2","-2.889633","-78.98283"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5303-3","-2.892184","-78.984345"
"cebollar/racar/cdla.Ingenieros/Flor de Plata/Totora/Euca","SM5303-4","-2.889064","-78.981796"
